4.428483843803405762e-01,7.087560892105102539e-01
4.156666696071624756e-01,6.278215646743774414e-01
4.489581882953643799e-01,6.528311967849731445e-01
4.168063998222351074e-01,5.477712154388427734e-01
4.113015532493591309e-01,6.034515500068664551e-01
4.188277125358581543e-01,5.714368820190429688e-01
4.466975331306457520e-01,4.907336831092834473e-01
3.769069910049438477e-01,4.801570773124694824e-01
4.519263207912445068e-01,4.275160431861877441e-01
4.479763805866241455e-01,3.961265683174133301e-01
4.506140351295471191e-01,2.816319465637207031e-01
4.441183209419250488e-01,7.208177447319030762e-01
4.485776424407958984e-01,7.325267195701599121e-01
4.545963406562805176e-01,7.403676509857177734e-01
4.547285437583923340e-01,7.451560497283935547e-01
4.519726634025573730e-01,7.584344744682312012e-01
4.512019753456115723e-01,7.738797664642333984e-01
4.546251893043518066e-01,7.899318933486938477e-01
4.834853708744049072e-01,8.148057460784912109e-01
4.262668788433074951e-01,6.409116983413696289e-01
4.234906136989593506e-01,6.416020989418029785e-01
3.634480237960815430e-01,3.958880901336669922e-01
4.204330444335937500e-01,5.036912560462951660e-01
4.032785296440124512e-01,5.063590407371520996e-01
3.883848190307617188e-01,5.048779249191284180e-01
3.767230212688446045e-01,4.882386624813079834e-01
4.330698847770690918e-01,4.963092207908630371e-01
3.844123184680938721e-01,4.344637691974639893e-01
4.044504165649414062e-01,4.363650381565093994e-01
3.693846762180328369e-01,4.387922286987304688e-01
3.636226058006286621e-01,4.482076764106750488e-01
3.683978915214538574e-01,5.056797266006469727e-01
4.453908205032348633e-01,8.338143229484558105e-01
3.748900890350341797e-01,4.734465181827545166e-01
3.785635828971862793e-01,4.919318258762359619e-01
3.649418950080871582e-01,4.853072762489318848e-01
3.975708186626434326e-01,6.083871126174926758e-01
4.280034303665161133e-01,7.037323713302612305e-01
4.380965232849121094e-01,7.325925230979919434e-01
4.194078743457794189e-01,7.132473587989807129e-01
4.181290268898010254e-01,7.269340753555297852e-01
4.328303337097167969e-01,7.345212697982788086e-01
4.304468333721160889e-01,7.382352948188781738e-01
4.302046895027160645e-01,7.726508378982543945e-01
4.037374556064605713e-01,6.276104450225830078e-01
3.976759314537048340e-01,6.045072078704833984e-01
3.428884148597717285e-01,4.271276593208312988e-01
